Run,ER,Spn,Ct,index,alpha,ln.alpha,beta,Smsy,Smsy80p,Sgen,Umsy
738,24.697345353203517,555.733591293358,182.26640870664195,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
746,24.697345353203517,561.7578036651017,184.2421963348982,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
755,24.697345353203517,568.5350425833135,186.46495741668656,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
763,24.697345353203517,574.5592549550572,188.44074504494282,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
771,24.697345353203517,580.5834673268009,190.4165326731991,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
779,24.697345353203517,586.6076796985446,192.3923203014554,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
787,24.697345353203517,592.6318920702884,194.36810792971167,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
795,24.697345353203517,598.6561044420321,196.34389555796795,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
803,24.697345353203517,604.6803168137758,198.31968318622424,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
811,24.697345353203517,610.7045291855195,200.2954708144805,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
819,24.697345353203517,616.7287415572632,202.2712584427368,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
827,24.697345353203517,622.7529539290069,204.2470460709931,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
